KEY,TAB,DESCRIPTION,ALLOWED_CHARS,HINT
"ISTS.CFG.POACAL","Processing II","SO-A: Prevent Price from Changing when Qty is edited","Y N",""
"ISTS.CFG.POACLS","Processing II","SO-A: Prevent Price from Changing when Qty is edited","Y N",""
"ISTS.CFG.POADD","Processing","PO-A Default for change dates (Y,N)","YN",""
"ISTS.CFG.POADEL","Setup","Default Qty Complete to WO or Seq Qty [N/W/S]","YN",""
"ISTS.CFG.POADSC","Setup","PO-Q  Allow Entry to Price","Y N",""
"ISTS.CFG.POADUE","Processing II","WO-I: Create BKARTXNS records to assign to Serial# to SOs","Y ND",""
"ISTS.CFG.POAEBY","Processing II","PO-A: Require Entry to '#39'Entered By'#39","Y N",""
"ISTS.CFG.POAMFG","Processing II","PO-A: Suppress Prompt For Multiple MFG","Y N",""
"ISTS.CFG.POANO$","Processing II","SO-E/SO-P-I: Freight Upcharge (%)","Y NA",""
"ISTS.CFG.POAPOH","Setup","Password","YNA",""
"ISTS.CFG.POARSK","Processing II","PO-A: Risk Assessment Screen Access","Y N",""
"ISTS.CFG.POASLM","Setup","GL Department","SLMN",""
"ISTS.CFG.POAVDT","Processing II","PO-A: Prevent for Vend with Expired Review","Y NA",""
"ISTS.CFG.POAVND","Setup","DC-A/DC-B/DC-G/WO-M: Default for Scrap Prompt [Y/N]","YN",""
"ISTS.CFG.POBSIG","Printing","Prevent printing of POs not Digitally Signed?","Y N",""
"ISTS.CFG.POCBF","Processing","Use Long Weight in Calculations?","YNA",""
"ISTS.CFG.POCBIN","Processing II","SO-E/SO-P-I: Freight Upcharge (%)","",""
"ISTS.CFG.POCFRT","Processing II","PO-C: Freight Distribution Item Number","",""
"ISTS.CFG.POCHG","Setup","DC-A/DC-C: Round Shift Start/Stop by X minutes","Y N",""
"ISTS.CFG.POCHK","Setup","Allow Reopen Closed/Cancelled WO [Y/N/P]","Y NP","P = Password Protect"
"ISTS.CFG.POCLBL","Setup","Default PO Tax rate","Y NAQ",""
"ISTS.CFG.POCLC0","Processing","IN-A: Disable Rebuild Stock Status","YN",""
"ISTS.CFG.POCLOT","Processing","PO-C/PO-J-C: Auto Generate Lot #s when receiving","Y NQ",""
"ISTS.CFG.POCPIE","Processing II","PO-C to print Receiving Report (Y,N,A)","YA N",""
"ISTS.CFG.POCPJB","Processing II","PO-C to print Inventory in QC (Y,N,A)","YA N",""
"ISTS.CFG.POCPLL","Processing II","SO-A/SR-A: Force SOs/SRs Taxable","Y NA","Y - Yes'#13#10'N - No'#13#10'A - Ask"
"ISTS.CFG.POCPV","Processing","Divide Overhead by # of Jobs Worked","YN",""
"ISTS.CFG.POCRC2","Processing","PO-C to update Std. Cost if Cost is $0.00","YN",""
"ISTS.CFG.POCRN","Processing","Prevent Item Creation from ES-A","YN",""
"ISTS.CFG.POCSER","Processing","PO-C/PO-J-C: Auto Gen Serial #s when receiving","Y N",""
"ISTS.CFG.POCSTD","Processing","Archive Vendor Last Cost before Updating in PO-C","Y N",""
"ISTS.CFG.POCUCV","Processing","PO-C to update Std. Cost and Vendor if less $","YN",""
"ISTS.CFG.POEDTE","Setup","Post Inventory Adjustments?","Y N",""
"ISTS.CFG.POEPRX","Processing II","PO-E: Use for Purchase Requistion","Y N","Y = PO-E will pull in pricing same as PO-A."
"ISTS.CFG.POGLED","Setup","Allow PO to Edit GL Account (A/D/B/N)","ADBN",""
"ISTS.CFG.POGLTY","Setup","Item types for Edit","RFAMNLBTKO",""
"ISTS.CFG.POLOTC","Processing II","POA,POB: PO Lot Charge Item","",""
"ISTS.CFG.POPAMT","Acct. Receivables","Period 4 Greater than","YNU","Yes, No, Unlimited"
"ISTS.CFG.POPCOM","Acct. Receivables","Pop-up in AR-C for Comm. (Y/N/C)","YNC",""
"ISTS.CFG.POPCRH","Acct. Receivables","Pop-up in AR-C for Cr hld (Y/N/V)","YNV",""
"ISTS.CFG.POPRIX","Processing","WOJ: Process WIP Variance","YN",""
"ISTS.CFG.POPSLP","Acct. Receivables","for Sales Person (1/2/B)","12B",""
"ISTS.CFG.POQITM","Setup","DC-A Warning for WO with Active Status E Item","YN",""
"ISTS.CFG.POQPRC","Setup","DC-A/DC-B: Enter Rework Codes [YNM]","YN",""
"ISTS.CFG.POREV","Setup","Copy Cust PO'#39's from WO'#39's as comment lines","YN",""
"ISTS.CFG.POSEC","Setup","Enable PO-A Entry Security","YN",""
"ISTS.CFG.POSIGN","Setup","Location","YNA",""
"ISTS.CFG.POXLOC","Processing II","SO-A/SR-A: Force SOs/SRs Taxable","Y NA",""
"ISTS.CFG.PPTL","Setup","DC-A/HH-I: Disable Scrap Quantity","YNA",""
"ISTS.CFG.PRCAT1","Payroll","PR-B Pull in Misc Income User-Defined Category 1","YN",""
"ISTS.CFG.PRCAT2","Payroll","PR-B Pull in Misc Income User-Defined Category 2","YN",""
"ISTS.CFG.PRCAT3","Payroll","PR-B Pull in Misc Income User-Defined Category 3","YN",""
"ISTS.CFG.PRCDTE","Processing","IN-A: Disable Rebuild Stock Status","OCS",""
"ISTS.CFG.PRPOST","Payroll","Consolidate GL postings in PR-D","YN",""
"ISTS.CFG.PRQPST","Processing II","WO-G: Prevent taking inventory negative? (Y/N)","YN","WO-K-N"
"ISTS.CFG.PRSSNX","Payroll","Print SSN in the form XXX-XX-####","YN",""
"ISTS.CFG.PRTL","Setup","DC-A: Check if QTY per SEQ>WO QTY [NYWQPC]","YNA",""
"ISTS.CFG.PRTPS","Processing","Prevent Item Creation from ES-A","Y N",""
"ISTS.CFG.PRTSOA","Setup","Burden Item #","Y N",""
"ISTS.CFG.PSFSEQ","Hand Held","Process Paperless in Seq/Batch [WOB]","WOB",""
"ISTS.CFG.PSFSEQ","Processing","Use Long Weight in Calculations?","WOB",""
"ISTS.CFG.PSTKIT","Processing II","Save in the KIT program will also Post the Material Issues","YN","Have the Save in the KIT program post the material issues."
"ISTS.CFG.QCRPT","Processing","SOQA/INB: Disable Base Price passdown to subsid Co","YA N",""
"ISTS.CFG.QTYADJ","Setup","Limit Ship to based on Bill to","Y N",""
"ISTS.CFG.QUALOC","Processing","DCL: Period Frequency (7,14,21,28,etc) days","",""
"ISTS.CFG.QWOQTY","Processing II","WOF/DCA/DCB: Backflush: Prevent Taking OH Negative?","YNW",""
"ISTS.CFG.RAISE","Payroll","Raise Info Access from PR-A","YN",""
"ISTS.CFG.RECYCL","Customers","Recycle Fee Item Num","",""
"ISTS.CFG.REPRT","Company","Multiple Print Dialog Box (Y/N/A)","YNA",""
"ISTS.CFG.REVIEW","Payroll","Review Info Access from PR-A","YN",""
"ISTS.CFG.RMACDT","RMA / Service/Repair","RMA Credit Item Num","",""
"ISTS.CFG.RMAFLT","RMA / Service/Repair","RMA Restock Flat Charge or % (F/P)","FP",""
"ISTS.CFG.RMAINF","RMA / Service/Repair","RMC: Allow RMA info changes in RMC","Y N",""
"ISTS.CFG.RMAMST","RMA / Service/Repair","RMA: Control RMA Return Codes  (Y/N/R/A)","YNRA",""
"ISTS.CFG.RMASTK","RMA / Service/Repair","RMA Restock Item Num","",""
"ISTS.CFG.RMAUPD","RMA / Service/Repair","RMD: Allow RMA Reasons after Disp","Y N",""
"ISTS.CFG.RMDACM","RMA / Service/Repair","RMD: Autopost Credit Memo  (YNA)","Y NA",""
"ISTS.CFG.RMDDSP","RMA / Service/Repair","RMD: Suppress the Repeat Disposition Prompt [Y/N]","Y N",""
"ISTS.CFG.RMDSR#","RMA / Service/Repair","RMD: Use RMA# for S/R# for S/R dispositions","Y N",""
"ISTS.CFG.RMDSRQ","RMA / Service/Repair","RMD: Convert RMA to S/R Quotes (YNA)","Y NA",""
"ISTS.CFG.ROADEC","Routing","ROA: Enter Setup Time as a Decimal (Y/N)","Y N",""
"ISTS.CFG.ROAPPH","Routing","ROA: Recal Parts/Hr when changing # Persons (Y/N/A)","Y NA",""
"ISTS.CFG.ROSTTY","Routing","Sync Template settings to ROA? (Y/N/A)","YNA",""
"ISTS.CFG.ROTTY","Routing","Enable Template Time Types?","Y N",""
"ISTS.CFG.RRFPR","Setup","Permit use of Item Class GLs?","YN",""
"ISTS.CFG.RTMSAV","Company","Force Job Tracking (Y/N/R/O)","Y N",""
"ISTS.CFG.RWOPER","Setup","DC-A/DC-C: Limit Shift Rounding to Shift Start/Stop","",""
"ISTS.CFG.RWWCT","Setup","Syncronize WS to Server Date and Time","",""
"ISTS.CFG.SCCOMF","Processing","DCA/B/C Allow access to view and modify the WC [Y/N]","YN",""
"ISTS.CFG.SCPMRK","Processing","Control User Defined (Y/N/R/A)","YN",""
"ISTS.CFG.SCRAP","Processing","PO-A Default for change dates (Y,N)","YNA",""
"ISTS.CFG.SCRCMP","Processing","SOE: Disable Generate Serials button.","YN",""
"ISTS.CFG.SCRPQ","Processing","SOE: Disable Generate Serials button.","%Q",""
"ISTS.CFG.SCRPYN","Setup","INC/INK: Allow 0 Quantiy Adjustments","YNME",""
"ISTS.CFG.SEQCHK","Processing II","SO-A/SR-A: Force SOs/SRs Taxable","YN",""
"ISTS.CFG.SETQTY","Setup","Post COGS Transactions?","YN",""
"ISTS.CFG.SHPBIN","Hand Held","HH-D/SO-E: Default Shipping Bin","",""
"ISTS.CFG.SHPBIN","Setup III","SO-E/HH-D: Default Shipping Bin","",""
"ISTS.CFG.SHPFOB","Setup","Post COGS Transactions?","Y N",""
"ISTS.CFG.SHPHST","Processing","Prevent Item Creation from PI-C","Y N",""
"ISTS.CFG.SMGBDT","Payroll","SM-G  Allow Employee Report to Print Birthday","YN",""
"ISTS.CFG.SMGEDT","Payroll","SM-G  Prevent edit to Start Date,Terminated,Div,Shift","YN",""
"ISTS.CFG.SMGSYN","Payroll","SM-G  Synch JC Master with PR Master","YN",""
"ISTS.CFG.SOAACT","Estimates","ES-B/SO-A/SOP-A: Prevent Active Status S Items","Y N",""
"ISTS.CFG.SOAACT","Setup III","SO-A: Pull in Line User-Defined Info [Y/N/Desc]","Y N",""
"ISTS.CFG.SOAARN","Setup III","SO-A: Autonumber Lines After Inserting SO Line(s)","YN",""
"ISTS.CFG.SOAATT","Processing","Control User Defined (Y/N/R/A)","YN","Y = Yes '#13#10'N = No'#13#10"
"ISTS.CFG.SOAAUD","Setup III","SO-A: Pull in Line User-Defined Info [Y/N/Desc]","YND",""
"ISTS.CFG.SOACAL","Setup III","SO-A:  Prevent Access to Released Orders  [Y/N]","Y N",""
"ISTS.CFG.SOACDL","Setup III","SO-P-B: Prompt for Win Likelihood","Y N",""
"ISTS.CFG.SOACDT","Setup II","SOA: Set Default to True when Changing all Line Dates","Y N",""
"ISTS.CFG.SOACFC","Processing","PO-C to issue WO Comps for Service POs (Y,N,A)","YNA",""
"ISTS.CFG.SOACOM","Setup III","SO-A: Prevent Entering 0$ Price [YNA]","Y N",""
"ISTS.CFG.SOADEL","Setup II","Prevent Delete of SO Lines with WOs in SO-A (Y/N)","Y N",""
"ISTS.CFG.SOADSC","Setup","Post Inventory Adjustments?","Y N",""
"ISTS.CFG.SOAGPP","Setup III","SO-A: Display Line Item Cost, Profit% by line and Total","YN",""
"ISTS.CFG.SOAINC","Setup II","SOA: Auto Line Number Increment","123456789 0",""
"ISTS.CFG.SOAITM","Processing","IN-B: Default Compliance Settings to N for New Items [YN]","YNA","Y = Yes'#13#10'N = No'#13#10'A = Ask"
"ISTS.CFG.SOALOC","Setup","DC-A Warning for WO with Active Status E Item","",""
"ISTS.CFG.SOAMA%","Setup III","SO-A/SO-P-A: Gross Profit Margin/Markup %","0 123456789",""
"ISTS.CFG.SOAMAR","Setup III","SO-A/P-A: Warn if Gross Profit is below Margin [Y/N/K]","YNK","Yes = Yes'#13#10'N = No'#13#10'K = Use Markup instead of Margin"
"ISTS.CFG.SOANO$","Setup III","SO-A: Prevent Entering 0$ Price [YNA]","Y NA",""
"ISTS.CFG.SOANUM","Setup III","SO-A/SO-P-A: Gross Profit Margin/Markup %","Y N",""
"ISTS.CFG.SOAPRX","Processing II","SO-A: Prevent Price from Changing when Qty is edited","Y N",""
"ISTS.CFG.SOARCH","Setup III","SO-A: Autonumber Lines After Inserting SO Line(s)","Y N",""
"ISTS.CFG.SOAREP","Setup II","Prevent edit of SLSP in SO-A (YN)","Y N",""
"ISTS.CFG.SOASHP","Setup II","Ask for Serial info. when releasing SO lines (Y/N/A/R)","Y N",""
"ISTS.CFG.SOASPK","Setup III","SO-E: Retain Original Ship Via Code","Y NW",""
"ISTS.CFG.SOASTN","Setup II","SOA: Auto Line Number Starting Number","123456789 0",""
"ISTS.CFG.SOATAX","Processing II","SO-A/SR-A: Force SOs/SRs Taxable","Y N",""
"ISTS.CFG.SOAUD","Setup II","SO-A Alternate Item Number - User Defined (1,2,3)","123 N",""
"ISTS.CFG.SOAUPC","Setup II","SOA: Auto Line Number Increment","123 N",""
"ISTS.CFG.SOAVCK","Processing","DCA/B: Enter % Complete","YNA","Y = Yes'#13#10'N = No'#13#10'A = Ask"
"ISTS.CFG.SOAXRF","Setup II","SO-A Alternate Item Number - Customer X-Ref (1,2,3)","123 N",""
"ISTS.CFG.SOBRTM","Printing","Sales Order RTM","",""
"ISTS.CFG.SOCBOL","Processing","Enable Bill of Lading in SOC","Y N",""
"ISTS.CFG.SOCHG","Setup","Post PO Transactions?","Y N",""
"ISTS.CFG.SOCOPY","Setup","Accounting Open Period Start Date","YN",""
"ISTS.CFG.SOCRTM","Printing","SO-C: Cert of Compliance RTM","",""
"ISTS.CFG.SOCUST","Setup II","Ask for Serial info. when adding SO lines (Y/N/A/R)","Y NS",""
"ISTS.CFG.SODATE","Setup","AP-C Price change update PO Line price (Y/N/A)","Y N",""
"ISTS.CFG.SODEL","Setup","Copy Cust PO'#39's from WO'#39's as comment lines","Y N",""
"ISTS.CFG.SODWO","Processing","PO-C to issue WO Comps for Service POs (Y,N,A)","Y N",""
"ISTS.CFG.SOECDL","Setup III","SOE: Prevent Order Lines if it exceeds Credit Limit[Y/N]","Y N",""
"ISTS.CFG.SOEDTE","Setup II","Ask for LOT info. when adding SO lines (Y/N/A/R)","Y N",""
"ISTS.CFG.SOEGSB","Processing","SOE: Disable Generate Serials button.","Y N",""
"ISTS.CFG.SOELAB","Printing","Max No Lines on Invoices      SO-F","Y NA",""
"ISTS.CFG.SOELOT","Setup II","Ask for LOT info. when releasing SO lines (Y/N/A/R)","YNR A",""
"ISTS.CFG.SOENBY","Setup II","SO-A Chk for Open late Inv>XXX days per terms","YUE ",""
"ISTS.CFG.SOEOVR","Setup III","SO-A/P-A: Warn if Gross Profit is below Margin [Y/N/K]","Y NA",""
"ISTS.CFG.SOESDT","Setup III","Account Number","Y NAO",""
"ISTS.CFG.SOESER","Setup II","Ask for Serial info. when releasing SO lines (Y/N/A/R)","YNR A",""
"ISTS.CFG.SOESUR","Processing","Divide Overhead by # of Jobs Worked","Y NA",""
"ISTS.CFG.SOEUBO","Setup III","SO-E: Move all unshipped lines to Back Order","Y N",""
"ISTS.CFG.SOEVIA","Setup III","SO-E: Retain Original Ship Via Code","YND",""
"ISTS.CFG.SOGCFC","Processing","Enter Reg/OT Hours together in WO-F","YN",""
"ISTS.CFG.SOINFO","Processing","PO-A Default for change dates (Y,N)","HLB ",""
"ISTS.CFG.SOITMZ","Setup II","SOC/SOF: Always Use Standard Pack [Y/N]","",""
"ISTS.CFG.SOLEAD","Setup III","SO-E: Move all unshipped lines to Back Order","Y N",""
"ISTS.CFG.SOLLOC","Setup","Allow Reopen Closed/Cancelled WO [Y/N/P]","YNRSB",""
"ISTS.CFG.SOLOT","Setup II","Ask for LOT info. when adding SO lines (Y/N/A/R)","YNR A",""
"ISTS.CFG.SONENG","Processing","Prevent Item Creation from ES-A","Y N",""
"ISTS.CFG.SONMY","Processing","WOJ: Process WIP Variance","",""
"ISTS.CFG.SOONLY","Setup II","Use UCC","O B",""
"ISTS.CFG.SOOPEN","Setup","Open Period End Date","YNPV",""
"ISTS.CFG.SOPBLW","Setup III","SO-P-B: Prompt for Win Likelihood","YN",""
"ISTS.CFG.SOPCQT","Processing","Prevent Item Creation from PI-C","YN",""
"ISTS.CFG.SOPRCE","Setup","Use Material Burden","Y N",""
"ISTS.CFG.SOPSWD","Setup","Allow WO'#39's for Make From Items","",""
"ISTS.CFG.SORND","Setup","Default PO Tax rate","U N",""
"ISTS.CFG.SORNDD","Setup","Default PO Tax rate","01234",""
"ISTS.CFG.SORTS","Setup II","Item No for Medical Excise Tax","Y N",""
"ISTS.CFG.SOSEC","Setup III","DETB/EDI: Drop Ship Fee Item No","YN",""
"ISTS.CFG.SOSER","Setup II","Ask for Serial info. when adding SO lines (Y/N/A/R)","YNR A",""
"ISTS.CFG.SOSPEC","Setup II","Maximim Freight Amount of $9,999.99 (Y/N)","Y N",""
"ISTS.CFG.SOSTDP","Setup II","SOC/SOF: Always Use Standard Pack [Y/N]","Y N",""
"ISTS.CFG.SOUPCH","Setup","Post WO Transactions?","Y N",""
"ISTS.CFG.SOXREF","Setup II","Prevent Delete of SO Lines with WOs in SO-A (Y/N)","Y N",""
"ISTS.CFG.SOXSHP","Processing","Chk Stock Recvng Make From Comps  (W,I,P)","Y NB",""
"ISTS.CFG.SPOOH","Processing II","PO-A: Risk Assessment Screen Access","YN",""
"ISTS.CFG.SRAWOS","RMA / Service/Repair","SRA: Generate S/R WOs in SR-A (Y/N/A)","YAN",""
"ISTS.CFG.SRBOM","RMA / Service/Repair","RMD: Suppress the Repeat Disposition Prompt [Y/N]","Y N",""
"ISTS.CFG.SRCBOM","RMA / Service/Repair","S/R Generate WOs with STD BOMs/Routings  (YNA)","Y NA",""
"ISTS.CFG.SRCOMM","Sales Commissions","Prevent S/R from calculating Commissions  [Y/N]","YN",""
"ISTS.CFG.SRINFO","RMA / Service/Repair","Ask Misc. Information in SR-A && E and RMA [LHBN]?","LHBN",""
"ISTS.CFG.SRLOC","RMA / Service/Repair","SRA: Service / Repair Location","",""
"ISTS.CFG.SRPART","RMA / Service/Repair","S/R Generic Item No","",""
"ISTS.CFG.SRTRAK","RMA / Service/Repair","SRE: Enter Ship Tracking #","Y N",""
"ISTS.CFG.SSO","Company","Permanently Disable DBA Classic","YN",""
"ISTS.CFG.STDCST","Setup","Post Inventory Adjustments?","Y N",""
"ISTS.CFG.STDPK","MRP","MRP Gen PO'#39's STDPK sizes","Y N",""
"ISTS.CFG.SUBCOS","Company","Parent or Subsidiary Company (P/S/N)","PSN",""
"ISTS.CFG.TOOLLU","Processing","SO-G: Auto process Fin Prod for Converted WO","Y N",""
"ISTS.CFG.TPRTNT","Routing","Traveler to print Routing Template Notes Type","",""
"ISTS.CFG.TRACK","Processing","WOJ: Process WIP Variance","Y N",""
"ISTS.CFG.TRKSER","Processing II","Pull Comps from Dflt Loc regardless of WO Loc (Y/N/S)","L SB",""
"ISTS.CFG.TRNSCO","Setup","DC-A/DC-C: Round Shift Start/Stop by X minutes","",""
"ISTS.CFG.UCC14","Setup II","Use UCC","1234567890",""
"ISTS.CFG.UDMSTR","Processing","PO-C/PO-J-C: Auto Gen Serial #s when receiving","YNRA",""
"ISTS.CFG.UPLCST","Processing","Enable Bill of Lading in SOC","YN",""
"ISTS.CFG.URNT","Routing","Primary Routing Note Type","",""
"ISTS.CFG.USINI","Company","Enable USER Specific Settings (Y/N)","YN",""
"ISTS.CFG.USNGPR","Payroll","Using Payroll","YN",""
"ISTS.CFG.VACGLA","Payroll","Raise Info Access from PR-A","",""
"ISTS.CFG.VACGLD","Payroll","Raise Info Access from PR-A","",""
"ISTS.CFG.VIACUS","Company","Use Ship Via Code for Customers (N/C/S)","NCS",""
"ISTS.CFG.VIAMST","Company","Archive Dismissed Reminders older than ### days","YNRA",""
"ISTS.CFG.VIAVND","Company","Use Ship Via Code for Vendors (Y/N)","YN",""
"ISTS.CFG.VNDEXP","Processing","DCA: Use Shift Start Date for Overnight Shifts","YN WA","Y = Yes'#13#10'N = No'#13#10'A = Ask'#13#10'W = Warn"
"ISTS.CFG.VNDPRX","Processing","PO-A Recal Vend Price for item on multi line(Y,N,A)","YN A",""
"ISTS.CFG.VOAP","EvoView","(no label found)","",""
"ISTS.CFG.VOAR","EvoView","(no label found)","",""
"ISTS.CFG.VOIC","EvoView","(no label found)","",""
"ISTS.CFG.VOPO","EvoView","(no label found)","",""
"ISTS.CFG.VOSO","EvoView","(no label found)","",""
"ISTS.CFG.VOWO","EvoView","(no label found)","",""
"ISTS.CFG.WARNTY","Setup","SO-A: Allow 00/00/00 ship dates","YN A",""
"ISTS.CFG.WCBF","Warehouse Control","Prompt for Bins for various WO Backflush programs(Y/N)","YN",""
"ISTS.CFG.WCDEPT","Processing II","Link Work Center Dept to GL Dept (Y/N)","YN",""
"ISTS.CFG.WHCTRL","Warehouse Control","Enable Warehouse Control (Y/N/Q)?","YNQ",""
"ISTS.CFG.WIPV","Processing","IN-C: Control Access to COGS GL account.","YN",""
"ISTS.CFG.WOABMR","Processing II","WOA: Update BMO/Routing/All when saving a WO [BRAN]","BRAN",""
"ISTS.CFG.WOADSC","Setup","AP-C Price change update PO Line price (Y/N/A)","YN",""
"ISTS.CFG.WOALOC","Setup","Post COGS Transactions?","",""
"ISTS.CFG.WOAROP","Processing III","WO-A: Ask for a Reason when Re-Opening a WO [YN]","YN",""
"ISTS.CFG.WOAVCK","Processing II","SO-E/SO-P-I: Freight Upcharge (%)","YNA","Y = Yes'#13#10'N = No'#13#10'A = Ask"
"ISTS.CFG.WOAWN","Processing II","SO-E/SO-P-I: Freight Upcharge (%)","YN",""
"ISTS.CFG.WOBASE","Processing","Use Inventory Master for Tools","YN",""
"ISTS.CFG.WOBS","Setup","Open Period End Date","SI",""
"ISTS.CFG.WOBWO1","Setup","Post Inventory Adjustments?","YNW","W: Warn when using a range of WOs but allow"
"ISTS.CFG.WOCALC","Setup","Disable Recalc Est Cost in WO-A","YN",""
"ISTS.CFG.WOCHDR","Printing","Sales Quotes","Y N",""
"ISTS.CFG.WODSO","Processing","Use Inventory Master for Tools","CS BYN",""
"ISTS.CFG.WOFAMI","Processing II","WO-F: Prompt for User Password (Y/N)","YN",""
"ISTS.CFG.WOFDEC","Processing II","Allow KIT program to select different Locations","01 2",""
"ISTS.CFG.WOFHOL","Processing II","Save in the KIT program will also Post the Material Issues","Y N",""
"ISTS.CFG.WOFINQ","Processing","WOI/HHD/HHI: Suppress Final Qty for this WO [Y/N]","YN",""
"ISTS.CFG.WOFOTH","Processing","PO-C to update Std. Cost if Cost is $0.00","YN",""
"ISTS.CFG.WOFTEM","Processing II","Apply Full Overhead to Team labor (Y/N)","YN",""
"ISTS.CFG.WOGADD","Hand Held","HH-C: Prevent adding non-BOM components [YNAP]","YNAP",""
"ISTS.CFG.WOGDSC","Setup","DC-A Warning for WO with Active Status E Item","YN",""
"ISTS.CFG.WOGKIT","Processing","PO-C to update Std. Cost and Vendor if less $","YNL",""
"ISTS.CFG.WOGLOC","Processing II","Pull Comps from Dflt Loc regardless of WO Loc (Y/N/S)","YNS","S = Service/Repair WO only"
"ISTS.CFG.WOGNEG","Processing II","WO-G: Prevent taking inventory negative? (Y/N)","YN",""
"ISTS.CFG.WOICST","Processing II","Apply Full Overhead to Team labor (Y/N)","YNW",""
"ISTS.CFG.WOILTX","Processing II","WO-I: Create BKARTXN records to assign to Lot# to SOs","YN",""
"ISTS.CFG.WOIRND","Processing II","SO-A/SR-A: Force SOs/SRs Taxable","YN",""
"ISTS.CFG.WOIRSS","Processing III","WO-I: Suppress the Rebuild Actual Costs Prompt [YN]","YN",""
"ISTS.CFG.WOISC%","Processing II","WOA: Disable Rebuild Stock Status","YN",""
"ISTS.CFG.WOISER","Processing II","WO-I: Create BKARTXN records to assign to Lot# to SOs","Y N",""
"ISTS.CFG.WOITXN","Processing II","WO-F: Prompt for User Password (Y/N)","YN",""
"ISTS.CFG.WOIWOF","Processing II","WOM: Autopost Labor Records? [YNA]","1234567890 ",""
"ISTS.CFG.WOJCLS","Processing II","WOA: Update BMO/Routing/All when saving a WO [BRAN]","Y N",""
"ISTS.CFG.WOLBLS","Printing","Max No Lines in body on Acks SO-B","YNAW",""
"ISTS.CFG.WOMAKF","Setup","Allow WO'#39's for Make From Items","YN",""
"ISTS.CFG.WOMPST","Processing II","WOM: Autopost Labor Records? [YNA]","YNA",""
"ISTS.CFG.WONEG","Processing III","WOI/WOP Backflush: Prevent Taking OH Negative?","YN",""
"ISTS.CFG.WOONLY","Setup","Show Open or Open/Closed WO in WOA (O/B)","O B",""
"ISTS.CFG.WOOPEN","Setup","INC/INK: Prevent Taking Negative Inventory [YN]","YNP",""
"ISTS.CFG.WOOVER","Processing","PO-A  Allow using expired Vendor Prices (Y,N,A,W)","YNA",""
"ISTS.CFG.WOPRI","Processing II","PO-E: Use for Purchase Requistion","123456789",""
"ISTS.CFG.WOPSWD","Setup","INP/INA: Use Calendar/Fiscal Year for Usage Calc [C/F]","",""
"ISTS.CFG.WORBSS","Processing II","WOA: Disable Rebuild Stock Status","Y N",""
"ISTS.CFG.WOSSER","Processing II","PO-C: Freight Distribution Item Number","Y N",""
"ISTS.CFG.XCMSOA","Sales Commissions","Prevent SO-A Access to Released Orders  [Y/N]","YN",""
"ISTS.CFG.XCMSOA","Setup III","SO-A:  Prevent Access to Released Orders  [Y/N]","YN",""
"ISTS.CFG.XCOMA","Sales Commissions","Enable Overage within Extended Commissions","YN",""
"ISTS.CFG.XCOMM","Sales Commissions","Enable Extended Commission System","YN",""
"ISTS.CFG.XDBA","Company","Permanently Disable DBA Classic","YN",""
"ISTS.CFG.XREBSS","Processing","DCA/B/C Allow access to view and modify the WC [Y/N]","Y N",""
"ISTS.CFG.ZPRCOM","Sales Commissions","Save zero dollar value Commissions?        [Y/N]","Y N",""
